,img,txt,hid,lr,path,closeness
0,0.2,0.8,128.0,0.0001,img_0.2_txt_0.8_hid_128_lr_0.0001,0.09699423525721862
1,0.6,0.0,128.0,0.0001,img_0.6_txt_0.0_hid_128_lr_0.0001,0.19886971358578331
2,0.8,0.0,128.0,0.0001,img_0.8_txt_0.0_hid_128_lr_0.0001,0.21293680289078853
3,0.2,0.2,128.0,0.0001,img_0.2_txt_0.2_hid_128_lr_0.0001,0.07941278887332148
4,0.0,1.0,128.0,0.0001,img_0.0_txt_1.0_hid_128_lr_0.0001,0.08526591226820812
5,0.4,0.6,128.0,0.0001,img_0.4_txt_0.6_hid_128_lr_0.0001,0.09797086257388099
6,1.0,0.0,128.0,0.0001,img_1.0_txt_0.0_hid_128_lr_0.0001,0.15750436985905847
7,0.0,0.4,128.0,0.0001,img_0.0_txt_0.4_hid_128_lr_0.0001,0.06102271405935167
8,0.2,0.6,128.0,0.0001,img_0.2_txt_0.6_hid_128_lr_0.0001,0.15409938528394618
9,0.6,0.4,128.0,0.0001,img_0.6_txt_0.4_hid_128_lr_0.0001,0.11334419260404427
10,0.0,0.0,128.0,0.0001,img_0.0_txt_0.0_hid_128_lr_0.0001,-0.020092753443444744
11,0.4,0.2,128.0,0.0001,img_0.4_txt_0.2_hid_128_lr_0.0001,0.1581767050918721
12,0.4,0.4,128.0,0.0001,img_0.4_txt_0.4_hid_128_lr_0.0001,0.15961249417613366
13,0.0,0.6,128.0,0.0001,img_0.0_txt_0.6_hid_128_lr_0.0001,0.1289737419923792
14,0.6,0.2,128.0,0.0001,img_0.6_txt_0.2_hid_128_lr_0.0001,0.18082639630173247
15,0.8,0.2,128.0,0.0001,img_0.8_txt_0.2_hid_128_lr_0.0001,0.14003279209308228
16,0.2,0.0,128.0,0.0001,img_0.2_txt_0.0_hid_128_lr_0.0001,0.011273818605075148
17,0.0,0.2,128.0,0.0001,img_0.0_txt_0.2_hid_128_lr_0.0001,-0.005089542955976523
18,0.4,0.0,128.0,0.0001,img_0.4_txt_0.0_hid_128_lr_0.0001,0.13868635789878625
19,0.0,0.8,128.0,0.0001,img_0.0_txt_0.8_hid_128_lr_0.0001,0.14194515055807277
20,0.2,0.4,128.0,0.0001,img_0.2_txt_0.4_hid_128_lr_0.0001,0.14047664681897665
